gene_id	spromiscuus_homolog	spromiscuus_homolog_orthology_type
ES_02-augustus-gene-43.16	mRNA_S-promiscuus_M_contig3.9167.1	ortholog_many2one
ES_02-augustus-gene-43.21	mRNA_S-promiscuus_M_contig3.9175.1	ortholog_many2one
ES_02-augustus-gene-43.32	mRNA_S-promiscuus_M_contig3.9176.1	ortholog_many2one
ES_02-augustus-gene-44.10	mRNA_S-promiscuus_M_contig4.12329.1	ortholog_many2one
ES_02-augustus-gene-45.26	mRNA_S-promiscuus_M_contig3.9179.1	ortholog_many2one
ES_02-augustus-gene-46.34	mRNA_S-promiscuus_M_contig18.4286.1	ortholog_many2one
ES_02-augustus-gene-46.37	mRNA_S-promiscuus_M_contig3.9185.1	ortholog_many2one
ES_02-augustus-gene-48.4	mRNA_S-promiscuus_M_contig66.16907.1	ortholog_many2one
ES_02-augustus-gene-49.19	mRNA_S-promiscuus_M_contig66.16907.1	ortholog_many2one
ES_02-augustus-gene-5.30	mRNA_S-promiscuus_M_contig8.18482.1	ortholog_many2one
ES_02-augustus-gene-50.0	mRNA_S-promiscuus_M_contig17.3942.1	ortholog_many2many
ES_02-augustus-gene-50.0	mRNA_S-promiscuus_M_contig17.3881.1	ortholog_many2many
ES_02-augustus-gene-58.57	mRNA_S-promiscuus_M_contig8.18175.1	ortholog_many2one
ES_02-augustus-gene-58.69	mRNA_S-promiscuus_M_contig8.18096.1	ortholog_many2one
ES_02-augustus-gene-58.72	mRNA_S-promiscuus_M_contig8.18098.1	ortholog_many2one
ES_02-augustus-gene-6.28	mRNA_S-promiscuus_M_contig45.13745.1	ortholog_many2one
ES_02-augustus-gene-6.39	mRNA_S-promiscuus_M_contig45.13749.1	ortholog_many2one
ES_02-augustus-gene-60.14	mRNA_S-promiscuus_M_contig48.14080.1	ortholog_many2one
ES_02-augustus-gene-60.22	mRNA_S-promiscuus_M_contig19.4457.1	ortholog_many2one
ES_02-augustus-gene-60.25	mRNA_S-promiscuus_M_contig8.18171.1	ortholog_many2one
ES_02-augustus-gene-67.34	mRNA_S-promiscuus_M_contig38.11646.1	ortholog_many2one
ES_02-augustus-gene-68.29	mRNA_S-promiscuus_M_contig11.1548.1	ortholog_many2one
ES_02-augustus-gene-68.34	mRNA_S-promiscuus_M_contig11.1537.1	ortholog_many2one
ES_02-augustus-gene-68.36	mRNA_S-promiscuus_M_contig11.1540.1	ortholog_many2one
ES_02-augustus-gene-68.38	mRNA_S-promiscuus_M_contig11.1542.1	ortholog_many2one
ES_02-augustus-gene-68.40	mRNA_S-promiscuus_M_contig11.1545.1	ortholog_many2one
ES_02-augustus-gene-69.17	mRNA_S-promiscuus_M_contig11.1521.1	ortholog_many2many
ES_02-augustus-gene-69.17	mRNA_S-promiscuus_M_contig11.1519.1	ortholog_many2many
ES_02-augustus-gene-7.28	mRNA_S-promiscuus_M_contig53.15431.1	ortholog_many2many
ES_02-augustus-gene-7.28	mRNA_S-promiscuus_M_contig8.18309.1	ortholog_many2many
ES_02-augustus-gene-71.36	mRNA_S-promiscuus_M_contig11.1514.1	ortholog_many2one
ES_02-augustus-gene-72.41	mRNA_S-promiscuus_M_contig11.1564.1	ortholog_many2one
ES_02-augustus-gene-72.42	mRNA_S-promiscuus_M_contig11.1564.1	ortholog_many2one
ES_02-augustus-gene-72.43	mRNA_S-promiscuus_M_contig11.1567.1	ortholog_many2one
ES_02-augustus-gene-73.22	mRNA_S-promiscuus_M_contig11.1573.1	ortholog_many2one
ES_02-augustus-gene-73.26	mRNA_S-promiscuus_M_contig11.1576.1	ortholog_many2one
ES_02-augustus-gene-73.30	mRNA_S-promiscuus_M_contig11.1574.1	ortholog_many2one
ES_02-augustus-gene-73.35	mRNA_S-promiscuus_M_contig11.1575.1	ortholog_many2one
ES_02-augustus-gene-76.12	mRNA_S-promiscuus_M_contig50.15119.1	ortholog_many2one
ES_02-augustus-gene-79.20	mRNA_S-promiscuus_M_contig8.18070.1	ortholog_many2one
ES_02-augustus-gene-8.25	mRNA_S-promiscuus_M_contig8.18287.1	ortholog_many2one
ES_02-augustus-gene-80.7	mRNA_S-promiscuus_M_contig8.18038.1	ortholog_many2one
ES_02-augustus-gene-82.20	mRNA_S-promiscuus_M_contig33.10556.1	ortholog_many2many
ES_02-augustus-gene-82.20	mRNA_S-promiscuus_M_contig33.10510.1	ortholog_many2many
ES_02-augustus-gene-82.22	mRNA_S-promiscuus_M_contig22.6518.1	ortholog_many2one
ES_02-augustus-gene-84.48	mRNA_S-promiscuus_M_contig8.18059.1	ortholog_many2one
ES_02-augustus-gene-84.64	mRNA_S-promiscuus_M_contig8.18062.1	ortholog_many2one
ES_02-augustus-gene-89.43	mRNA_S-promiscuus_M_contig8.17988.1	ortholog_many2one
ES_02-augustus-gene-89.60	mRNA_S-promiscuus_M_contig8.17986.1	ortholog_many2one
ES_02-augustus-gene-89.62	mRNA_S-promiscuus_M_contig8.17981.1	ortholog_many2one
ES_02-augustus-gene-89.64	mRNA_S-promiscuus_M_contig8.17987.1	ortholog_many2one
ES_02-augustus-gene-89.65	mRNA_S-promiscuus_M_contig8.17980.1	ortholog_many2one
ES_02-augustus-gene-90.0	mRNA_S-promiscuus_M_contig8.17985.1	ortholog_many2one
ES_02-augustus-gene-90.2	mRNA_S-promiscuus_M_contig8.17979.1	ortholog_many2one
ES_02-augustus-gene-91.37	mRNA_S-promiscuus_M_contig8.17937.1	ortholog_many2one
ES_02-augustus-gene-91.39	mRNA_S-promiscuus_M_contig8.17939.1	ortholog_many2one
ES_02-augustus-gene-92.26	mRNA_S-promiscuus_M_contig8.17948.1	ortholog_many2one
ES_02-augustus-gene-92.30	mRNA_S-promiscuus_M_contig8.17969.1	ortholog_many2one
ES_02-augustus-gene-93.22	mRNA_S-promiscuus_M_contig8.17956.1	ortholog_many2one
ES_02-augustus-gene-97.52	mRNA_S-promiscuus_M_contig8.17904.1	ortholog_many2one
ES_02-snap-gene-0.2	mRNA_S-promiscuus_M_contig8.18431.1	ortholog_many2one
ES_02-snap-gene-0.7	mRNA_S-promiscuus_M_contig8.18428.1	ortholog_many2one
ES_02-snap-gene-1.63	mRNA_S-promiscuus_M_contig8.18415.1	ortholog_many2one
ES_02-snap-gene-11.0	mRNA_S-promiscuus_M_contig34.10712.1	ortholog_many2one
ES_02-snap-gene-14.11	mRNA_S-promiscuus_M_contig43.13386.1	ortholog_many2many
ES_02-snap-gene-14.11	mRNA_S-promiscuus_M_contig43.13378.1	ortholog_many2many
ES_02-snap-gene-19.59	mRNA_S-promiscuus_M_contig43.13430.1	ortholog_many2one
ES_02-snap-gene-27.25	mRNA_S-promiscuus_M_contig50.15031.1	ortholog_many2one
ES_02-snap-gene-30.9	mRNA_S-promiscuus_M_contig43.13333.1	ortholog_many2one
ES_02-snap-gene-34.30	mRNA_S-promiscuus_M_contig3.9119.1	ortholog_many2one
ES_02-snap-gene-34.37	mRNA_S-promiscuus_M_contig3.9116.1	ortholog_many2one
ES_02-snap-gene-36.10	mRNA_S-promiscuus_M_contig3.9133.1	ortholog_many2one
ES_02-snap-gene-36.23	mRNA_S-promiscuus_M_contig3.9134.1	ortholog_many2one
ES_02-snap-gene-39.4	mRNA_S-promiscuus_M_contig3.9137.1	ortholog_many2one
ES_02-snap-gene-40.2	mRNA_S-promiscuus_M_contig5.14568.1	ortholog_many2one
ES_02-snap-gene-41.44	mRNA_S-promiscuus_M_contig3.9148.1	ortholog_many2one
ES_02-snap-gene-41.53	mRNA_S-promiscuus_M_contig3.9149.1	ortholog_many2one
ES_02-snap-gene-41.54	mRNA_S-promiscuus_M_contig3.9149.1	ortholog_many2one
ES_02-snap-gene-41.59	mRNA_S-promiscuus_M_contig3.9152.1	ortholog_many2one
ES_02-snap-gene-42.42	mRNA_S-promiscuus_M_contig3.9161.1	ortholog_many2one
ES_02-snap-gene-44.23	mRNA_S-promiscuus_M_contig19.4369.1	ortholog_many2one
ES_02-snap-gene-45.20	mRNA_S-promiscuus_M_contig3.9196.1	ortholog_many2one
ES_02-snap-gene-48.15	mRNA_S-promiscuus_M_contig66.16907.1	ortholog_many2one
ES_02-snap-gene-49.9	mRNA_S-promiscuus_M_contig66.16907.1	ortholog_many2one
ES_02-snap-gene-5.19	mRNA_S-promiscuus_M_contig8.18472.1	ortholog_many2one
ES_02-snap-gene-5.21	mRNA_S-promiscuus_M_contig8.18470.1	ortholog_many2one
ES_02-snap-gene-55.35	mRNA_S-promiscuus_M_contig17.3825.1	ortholog_many2many
ES_02-snap-gene-55.35	mRNA_S-promiscuus_M_contig3.8980.1	ortholog_many2many
ES_02-snap-gene-56.15	mRNA_S-promiscuus_M_contig7.17515.1	ortholog_many2one
ES_02-snap-gene-56.27	mRNA_S-promiscuus_M_contig7.17516.1	ortholog_many2one
ES_02-snap-gene-57.17	mRNA_S-promiscuus_M_contig7.17513.1	ortholog_many2one
ES_02-snap-gene-6.1	mRNA_S-promiscuus_M_contig45.13742.1	ortholog_many2one
ES_02-snap-gene-6.18	mRNA_S-promiscuus_M_contig45.13743.1	ortholog_many2one
ES_02-snap-gene-66.44	mRNA_S-promiscuus_M_contig8.18119.1	ortholog_many2one
ES_02-snap-gene-69.3	mRNA_S-promiscuus_M_contig11.1517.1	ortholog_many2one
ES_02-snap-gene-71.10	mRNA_S-promiscuus_M_contig11.1515.1	ortholog_many2one
ES_02-snap-gene-72.11	mRNA_S-promiscuus_M_contig11.1569.1	ortholog_many2one
ES_02-snap-gene-72.24	mRNA_S-promiscuus_M_contig11.1571.1	ortholog_many2one
ES_02-snap-gene-78.33	mRNA_S-promiscuus_M_contig8.18093.1	ortholog_many2one
ES_02-snap-gene-79.11	mRNA_S-promiscuus_M_contig8.18069.1	ortholog_many2one
ES_02-snap-gene-8.9	mRNA_S-promiscuus_M_contig8.18298.1	ortholog_many2one
ES_02-snap-gene-80.41	mRNA_S-promiscuus_M_contig8.18038.1	ortholog_many2one
ES_02-snap-gene-86.19	mRNA_S-promiscuus_M_contig8.18015.1	ortholog_many2one
ES_02-snap-gene-86.22	mRNA_S-promiscuus_M_contig8.18014.1	ortholog_many2one
ES_02-snap-gene-87.54	mRNA_S-promiscuus_M_contig8.18018.1	ortholog_many2many
ES_02-snap-gene-87.54	mRNA_S-promiscuus_M_contig8.18017.1	ortholog_many2many
ES_02-snap-gene-87.54	mRNA_S-promiscuus_M_contig8.18012.1	ortholog_many2many
ES_02-snap-gene-88.13	mRNA_S-promiscuus_M_contig8.17996.1	ortholog_many2one
ES_02-snap-gene-89.24	mRNA_S-promiscuus_M_contig8.17983.1	ortholog_many2one
ES_02-snap-gene-89.28	mRNA_S-promiscuus_M_contig8.17984.1	ortholog_many2one
ES_02-snap-gene-90.40	mRNA_S-promiscuus_M_contig8.17932.1	ortholog_many2one
ES_02-snap-gene-91.31	mRNA_S-promiscuus_M_contig8.17936.1	ortholog_many2one
ES_02-snap-gene-91.36	mRNA_S-promiscuus_M_contig8.17944.1	ortholog_many2one
ES_02-snap-gene-92.55	mRNA_S-promiscuus_M_contig8.17950.1	ortholog_many2one
ES_02-snap-gene-92.58	mRNA_S-promiscuus_M_contig8.17954.1	ortholog_many2one
ES_02-snap-gene-94.51	mRNA_S-promiscuus_M_contig8.17968.1	ortholog_many2one
ES_03-augustus-gene-0.21	mRNA_S-promiscuus_M_contig31.10071.1	ortholog_many2one
ES_03-augustus-gene-0.26	mRNA_S-promiscuus_M_contig31.10066.1	ortholog_many2one
ES_03-augustus-gene-1.1	mRNA_S-promiscuus_M_contig19.4457.1	ortholog_many2one
ES_03-augustus-gene-1.7	mRNA_S-promiscuus_M_contig31.10073.1	ortholog_many2one
ES_03-augustus-gene-20.2	mRNA_S-promiscuus_M_contig19.4452.1	ortholog_many2one
ES_03-augustus-gene-26.23	mRNA_S-promiscuus_M_contig31.9940.1	ortholog_many2many
ES_03-augustus-gene-26.23	mRNA_S-promiscuus_M_contig31.9936.1	ortholog_many2many
ES_03-augustus-gene-26.26	mRNA_S-promiscuus_M_contig20.5833.1	ortholog_many2one
ES_03-augustus-gene-27.12	mRNA_S-promiscuus_M_contig31.9927.1	ortholog_many2one
ES_03-augustus-gene-29.0	mRNA_S-promiscuus_M_contig31.9914.1	ortholog_many2one
ES_03-augustus-gene-36.45	mRNA_S-promiscuus_M_contig31.9855.1	ortholog_many2one
ES_03-augustus-gene-36.47	mRNA_S-promiscuus_M_contig9.18668.1	ortholog_many2one
ES_03-augustus-gene-36.61	mRNA_S-promiscuus_M_contig31.9851.1	ortholog_many2many
ES_03-augustus-gene-36.61	mRNA_S-promiscuus_M_contig31.9852.1	ortholog_many2many
ES_03-augustus-gene-37.40	mRNA_S-promiscuus_M_contig31.9835.1	ortholog_many2one
ES_03-augustus-gene-37.54	mRNA_S-promiscuus_M_contig31.9839.1	ortholog_many2one
ES_03-augustus-gene-38.15	mRNA_S-promiscuus_M_contig27.8070.1	ortholog_many2one
ES_03-augustus-gene-57.33	mRNA_S-promiscuus_M_contig27.7909.1	ortholog_many2one
ES_03-augustus-gene-68.26	mRNA_S-promiscuus_M_contig38.11542.1	ortholog_many2many
ES_03-augustus-gene-68.26	mRNA_S-promiscuus_M_contig15.3177.1	ortholog_many2many
ES_03-augustus-gene-68.26	mRNA_S-promiscuus_M_contig15.3178.1	ortholog_many2many
ES_03-augustus-gene-68.26	mRNA_S-promiscuus_M_contig8.18350.1	ortholog_many2many
ES_03-augustus-gene-68.26	mRNA_S-promiscuus_M_contig15.3155.1	ortholog_many2many
ES_03-augustus-gene-68.27	mRNA_S-promiscuus_M_contig38.11542.1	ortholog_many2many
ES_03-augustus-gene-68.27	mRNA_S-promiscuus_M_contig15.3177.1	ortholog_many2many
ES_03-augustus-gene-68.27	mRNA_S-promiscuus_M_contig15.3178.1	ortholog_many2many
ES_03-augustus-gene-68.27	mRNA_S-promiscuus_M_contig8.18350.1	ortholog_many2many
ES_03-augustus-gene-68.27	mRNA_S-promiscuus_M_contig15.3155.1	ortholog_many2many
ES_03-augustus-gene-74.17	mRNA_S-promiscuus_M_contig27.7826.1	ortholog_many2one
ES_03-augustus-gene-9.33	mRNA_S-promiscuus_M_contig85.18580.1	ortholog_many2one
ES_03-augustus-gene-9.35	mRNA_S-promiscuus_M_contig85.18580.1	ortholog_many2one
ES_03-snap-gene-1.24	mRNA_S-promiscuus_M_contig31.10074.1	ortholog_many2one
ES_03-snap-gene-12.65	mRNA_S-promiscuus_M_contig31.10093.1	ortholog_many2many
ES_03-snap-gene-12.65	mRNA_S-promiscuus_M_contig31.10094.1	ortholog_many2many
ES_03-snap-gene-2.21	mRNA_S-promiscuus_M_contig31.10079.1	ortholog_many2one
ES_03-snap-gene-3.26	mRNA_S-promiscuus_M_contig31.10082.1	ortholog_many2one
ES_03-snap-gene-34.34	mRNA_S-promiscuus_M_contig31.9863.1	ortholog_many2one
ES_03-snap-gene-37.10	mRNA_S-promiscuus_M_contig31.9836.1	ortholog_many2one
ES_03-snap-gene-37.14	mRNA_S-promiscuus_M_contig31.9838.1	ortholog_many2one
ES_03-snap-gene-37.15	mRNA_S-promiscuus_M_contig31.9838.1	ortholog_many2one
ES_03-snap-gene-39.23	mRNA_S-promiscuus_M_contig27.8067.1	ortholog_many2one
ES_03-snap-gene-39.25	mRNA_S-promiscuus_M_contig27.8064.1	ortholog_many2one
ES_03-snap-gene-40.33	mRNA_S-promiscuus_M_contig27.8043.1	ortholog_many2one
ES_03-snap-gene-42.20	mRNA_S-promiscuus_M_contig27.8044.1	ortholog_many2one
ES_03-snap-gene-46.1	mRNA_S-promiscuus_M_contig27.8008.1	ortholog_many2one
ES_03-snap-gene-46.3	mRNA_S-promiscuus_M_contig27.8008.1	ortholog_many2one
ES_03-snap-gene-49.13	mRNA_S-promiscuus_M_contig4.12361.1	ortholog_many2one
ES_03-snap-gene-51.4	mRNA_S-promiscuus_M_contig27.7961.1	ortholog_many2one
ES_04-augustus-gene-10.8	mRNA_S-promiscuus_M_contig35.10873.1	ortholog_many2many
ES_04-augustus-gene-10.8	mRNA_S-promiscuus_M_contig35.10874.1	ortholog_many2many
ES_04-augustus-gene-10.8	mRNA_S-promiscuus_M_contig35.10875.1	ortholog_many2many
ES_04-augustus-gene-2.18	mRNA_S-promiscuus_M_contig12.1920.1	ortholog_many2many
ES_04-augustus-gene-2.18	mRNA_S-promiscuus_M_contig12.1921.1	ortholog_many2many
ES_04-augustus-gene-2.18	mRNA_S-promiscuus_M_contig9.18724.1	ortholog_many2many
ES_04-augustus-gene-2.18	mRNA_S-promiscuus_M_contig9.18730.1	ortholog_many2many
ES_04-augustus-gene-2.18	mRNA_S-promiscuus_M_contig9.18734.1	ortholog_many2many
ES_04-augustus-gene-22.2	mRNA_S-promiscuus_M_contig33.10539.1	ortholog_many2one
ES_04-augustus-gene-23.67	mRNA_S-promiscuus_M_contig6.16276.1	ortholog_many2one
ES_04-augustus-gene-24.3	mRNA_S-promiscuus_M_contig6.16282.1	ortholog_many2one
